,embedding__n_grams,embedding__tipo_embedding,model__model_type,normalization__tipo_normalizacao,preprocessing__aplicar_processamento,mean_test_score,std_test_score
82,1,WORD2VEC,LogisticRegression_L1,standard,True,0.495050751950137,0.023182989580721836
83,1,WORD2VEC,LogisticRegression_L1,standard,False,0.5157196551233326,0.027628421057947376
84,1,WORD2VEC,LogisticRegression_L2,nenhuma,True,0.4876682885892833,0.017560925724042598
85,1,WORD2VEC,LogisticRegression_L2,nenhuma,False,0.49975080024277024,0.022177802718734912
86,1,WORD2VEC,LogisticRegression_L2,minmax,True,0.45792933054110035,0.007206184618601557
87,1,WORD2VEC,LogisticRegression_L2,minmax,False,0.4692369721027137,0.013128784673224207
88,1,WORD2VEC,LogisticRegression_L2,standard,True,0.5033990971987622,0.007099834404777088
89,1,WORD2VEC,LogisticRegression_L2,standard,False,0.5158201154892722,0.029069732635048154
90,1,WORD2VEC,LogisticRegression_ElasticNet,nenhuma,True,0.48457657917309677,0.014299381477847609
91,1,WORD2VEC,LogisticRegression_ElasticNet,nenhuma,False,0.502108586628386,0.025471632741402267
92,1,WORD2VEC,LogisticRegression_ElasticNet,minmax,True,0.4502324054101488,0.015321544805740732
93,1,WORD2VEC,LogisticRegression_ElasticNet,minmax,False,0.44308736357691575,0.012670335032211965
94,1,WORD2VEC,LogisticRegression_ElasticNet,standard,True,0.4905480140774258,0.01731863777314071
95,1,WORD2VEC,LogisticRegression_ElasticNet,standard,False,0.4984126536882137,0.02665660003113154
96,1,WORD2VEC,DecisionTree,nenhuma,True,0.6202199975281176,0.02247745591272923
97,1,WORD2VEC,DecisionTree,nenhuma,False,0.620382729194612,0.021864033505710086
98,1,WORD2VEC,DecisionTree,minmax,True,0.6145166410620652,0.03284036576414907
99,1,WORD2VEC,DecisionTree,minmax,False,0.6294449228773386,0.011412812232718885
100,1,WORD2VEC,DecisionTree,standard,True,0.6288026903471001,0.020625053347518126
101,1,WORD2VEC,DecisionTree,standard,False,0.6325437835650874,0.017346858424261903
102,1,WORD2VEC,RandomForest,nenhuma,True,0.7262486022146555,0.018871685225480956
103,1,WORD2VEC,RandomForest,nenhuma,False,0.7640017630851396,0.012987836591134535
104,1,WORD2VEC,RandomForest,minmax,True,0.7214417553437995,0.01965098958028637
105,1,WORD2VEC,RandomForest,minmax,False,0.7569701043367755,0.007573889005638587
106,1,WORD2VEC,RandomForest,standard,True,0.7217719189722129,0.010787094950093903
107,1,WORD2VEC,RandomForest,standard,False,0.7624267645259973,0.013890184232489635
108,2,BOW,LogisticRegression_None,nenhuma,True,0.5098808746663446,0.02001013702205269
109,2,BOW,LogisticRegression_None,nenhuma,False,0.49939953529540054,0.020384012420590118
110,2,BOW,LogisticRegression_None,minmax,True,0.4534938167065072,0.02064336181174984
111,2,BOW,LogisticRegression_None,minmax,False,0.4429434805934906,0.023076135637845017
112,2,BOW,LogisticRegression_None,standard,True,0.5132496863764966,0.019265393653117368
113,2,BOW,LogisticRegression_None,standard,False,0.5163180178522123,0.01765722314069042
114,2,BOW,LogisticRegression_L1,nenhuma,True,0.49931538494357813,0.02117291797186612
115,2,BOW,LogisticRegression_L1,nenhuma,False,0.4942252250132711,0.01790473030483176
116,2,BOW,LogisticRegression_L1,minmax,True,0.4507884013464832,0.018284734411482484
117,2,BOW,LogisticRegression_L1,minmax,False,0.4336356035863425,0.0209311412229126
118,2,BOW,LogisticRegression_L1,standard,True,0.5135212903996395,0.0181010099087248
119,2,BOW,LogisticRegression_L1,standard,False,0.5162413394669225,0.016698317260939517
120,2,BOW,LogisticRegression_L2,nenhuma,True,0.5098808746663446,0.02001013702205269
121,2,BOW,LogisticRegression_L2,nenhuma,False,0.49939953529540054,0.020384012420590118
122,2,BOW,LogisticRegression_L2,minmax,True,0.4534938167065072,0.02064336181174984
123,2,BOW,LogisticRegression_L2,minmax,False,0.4429434805934906,0.023076135637845017
124,2,BOW,LogisticRegression_L2,standard,True,0.5132496863764966,0.019265393653117368
125,2,BOW,LogisticRegression_L2,standard,False,0.5163180178522123,0.01765722314069042
126,2,BOW,LogisticRegression_ElasticNet,nenhuma,True,0.0032441200324412004,0.0022939392739222955
127,2,BOW,LogisticRegression_ElasticNet,nenhuma,False,0.0032441200324412004,0.0022939392739222955
128,2,BOW,LogisticRegression_ElasticNet,minmax,True,0.45159211759722395,0.013573202917805224
129,2,BOW,LogisticRegression_ElasticNet,minmax,False,0.4405195316780031,0.023028540339183615
130,2,BOW,LogisticRegression_ElasticNet,standard,True,0.4605616423361296,0.019267052061224494
131,2,BOW,LogisticRegression_ElasticNet,standard,False,0.45648073683798535,0.025901677431436402
132,2,BOW,DecisionTree,nenhuma,True,0.6369584154851505,0.025732396695275765
133,2,BOW,DecisionTree,nenhuma,False,0.6373622984573831,0.0397160996490724
134,2,BOW,DecisionTree,minmax,True,0.6363328562086039,0.021953645402403504
135,2,BOW,DecisionTree,minmax,False,0.6416073274612754,0.02878843511753714
136,2,BOW,DecisionTree,standard,True,0.6377861019086181,0.028088106969344058
137,2,BOW,DecisionTree,standard,False,0.6395875310871714,0.03403262591718742
138,2,BOW,RandomForest,nenhuma,True,0.6904873161768946,0.010643709531547965
139,2,BOW,RandomForest,nenhuma,False,0.6842805034011871,0.022131597530705083
140,2,BOW,RandomForest,minmax,True,0.6864868630604906,0.013542298457992812
141,2,BOW,RandomForest,minmax,False,0.6850768560156225,0.02259002958156554
142,2,BOW,RandomForest,standard,True,0.6902802546803072,0.011087773222096855
143,2,BOW,RandomForest,standard,False,0.685532826229653,0.024451969224562022
144,2,TF-IDF,LogisticRegression_None,nenhuma,True,0.4322912190481725,0.01017409602205918
145,2,TF-IDF,LogisticRegression_None,nenhuma,False,0.4214782192591872,0.014455645762585874
146,2,TF-IDF,LogisticRegression_None,minmax,True,0.4612758301677052,0.006564857377046598
147,2,TF-IDF,LogisticRegression_None,minmax,False,0.48172119893250137,0.021241960524496787
148,2,TF-IDF,LogisticRegression_None,standard,True,0.5192059281128952,0.01493468511110844
149,2,TF-IDF,LogisticRegression_None,standard,False,0.5162142042251321,0.0164182153620719
150,2,TF-IDF,LogisticRegression_L1,nenhuma,True,0.48326777396591636,0.02035329433250224
151,2,TF-IDF,LogisticRegression_L1,nenhuma,False,0.46884001855071583,0.021851904988821398
152,2,TF-IDF,LogisticRegression_L1,minmax,True,0.49478214729483333,0.019995983480104316
153,2,TF-IDF,LogisticRegression_L1,minmax,False,0.4802888837181232,0.017436706446818707
154,2,TF-IDF,LogisticRegression_L1,standard,True,0.5223290071774893,0.019042623710045833
155,2,TF-IDF,LogisticRegression_L1,standard,False,0.5142492786597765,0.029305874259637196
156,2,TF-IDF,LogisticRegression_L2,nenhuma,True,0.4322912190481725,0.01017409602205918
157,2,TF-IDF,LogisticRegression_L2,nenhuma,False,0.4214782192591872,0.014455645762585874
158,2,TF-IDF,LogisticRegression_L2,minmax,True,0.4612758301677052,0.006564857377046598
159,2,TF-IDF,LogisticRegression_L2,minmax,False,0.48172119893250137,0.021241960524496787
160,2,TF-IDF,LogisticRegression_L2,standard,True,0.5192059281128952,0.01493468511110844
161,2,TF-IDF,LogisticRegression_L2,standard,False,0.5162142042251321,0.0164182153620719
162,2,TF-IDF,LogisticRegression_ElasticNet,nenhuma,True,0.4488480489629851,0.010497107474918497
163,2,TF-IDF,LogisticRegression_ElasticNet,nenhuma,False,0.43662060697835825,0.010012914089155086
164,2,TF-IDF,LogisticRegression_ElasticNet,minmax,True,0.4863385964912281,0.018364778371693685
165,2,TF-IDF,LogisticRegression_ElasticNet,minmax,False,0.479370638123995,0.023925905742639093
166,2,TF-IDF,LogisticRegression_ElasticNet,standard,True,0.4654126511550498,0.015030577874626378
167,2,TF-IDF,LogisticRegression_ElasticNet,standard,False,0.4996884407458115,0.02360144982440839
168,2,TF-IDF,DecisionTree,nenhuma,True,0.6505197447259148,0.012242065898155493
169,2,TF-IDF,DecisionTree,nenhuma,False,0.6304949539530474,0.02429589519127732
170,2,TF-IDF,DecisionTree,minmax,True,0.6598687034039848,0.012446691292814487
171,2,TF-IDF,DecisionTree,minmax,False,0.6373323553032358,0.028238071456473435
172,2,TF-IDF,DecisionTree,standard,True,0.6576773659391123,0.010139262152290246
173,2,TF-IDF,DecisionTree,standard,False,0.6303822327437688,0.025220504013432232
174,2,TF-IDF,RandomForest,nenhuma,True,0.7042446440788872,0.013013254743438115
175,2,TF-IDF,RandomForest,nenhuma,False,0.6897422895928407,0.016257356665991877
176,2,TF-IDF,RandomForest,minmax,True,0.6985751158293471,0.010301045022590933
177,2,TF-IDF,RandomForest,minmax,False,0.6905572315844984,0.01782253496470509
178,2,TF-IDF,RandomForest,standard,True,0.7064157084603614,0.016843532206151098
179,2,TF-IDF,RandomForest,standard,False,0.6935214001700228,0.018799226947015808
180,2,WORD2VEC,LogisticRegression_None,nenhuma,True,0.5022381772567095,0.013692303346463446
181,2,WORD2VEC,LogisticRegression_None,nenhuma,False,0.49341253808789326,0.018182126845701394
182,2,WORD2VEC,LogisticRegression_None,minmax,True,0.4813231306949349,0.014567446919485135
183,2,WORD2VEC,LogisticRegression_None,minmax,False,0.4765123733857191,0.007946645345850474
184,2,WORD2VEC,LogisticRegression_None,standard,True,0.5032312594479365,0.01466804780915263
185,2,WORD2VEC,LogisticRegression_None,standard,False,0.4968949989941776,0.029661389258693816
186,2,WORD2VEC,LogisticRegression_L1,nenhuma,True,0.49346177747167225,0.0187225651016409
187,2,WORD2VEC,LogisticRegression_L1,nenhuma,False,0.5066674874204443,0.020073419138749552
188,2,WORD2VEC,LogisticRegression_L1,minmax,True,0.4565387331916537,0.023389305360951292
189,2,WORD2VEC,LogisticRegression_L1,minmax,False,0.45883892696893963,0.0035859256664771185
190,2,WORD2VEC,LogisticRegression_L1,standard,True,0.4929785804264247,0.0220279912363116
191,2,WORD2VEC,LogisticRegression_L1,standard,False,0.5134850151245738,0.026022390635174388
192,2,WORD2VEC,LogisticRegression_L2,nenhuma,True,0.5016594841399763,0.014841879191054855
193,2,WORD2VEC,LogisticRegression_L2,nenhuma,False,0.5055918652496039,0.01580204926166799
194,2,WORD2VEC,LogisticRegression_L2,minmax,True,0.46221556811195924,0.012110522452521868
195,2,WORD2VEC,LogisticRegression_L2,minmax,False,0.4681772313385914,0.00600425001870228
196,2,WORD2VEC,LogisticRegression_L2,standard,True,0.5051751782231095,0.024309064713341166
197,2,WORD2VEC,LogisticRegression_L2,standard,False,0.5099768768897277,0.024068377100752457
198,2,WORD2VEC,LogisticRegression_ElasticNet,nenhuma,True,0.4929495123044574,0.004844706589367331
199,2,WORD2VEC,LogisticRegression_ElasticNet,nenhuma,False,0.4967330829908853,0.020297671310391337
200,2,WORD2VEC,LogisticRegression_ElasticNet,minmax,True,0.458466997314289,0.019342280784612715
201,2,WORD2VEC,LogisticRegression_ElasticNet,minmax,False,0.4672745647033261,0.007057493222718536
202,2,WORD2VEC,LogisticRegression_ElasticNet,standard,True,0.48593336391189856,0.0038527372714632865
203,2,WORD2VEC,LogisticRegression_ElasticNet,standard,False,0.49054642734245135,0.01657703632394927
204,2,WORD2VEC,DecisionTree,nenhuma,True,0.6328173579313534,0.013437470729719117
205,2,WORD2VEC,DecisionTree,nenhuma,False,0.6348216560752281,0.016128197186405777
206,2,WORD2VEC,DecisionTree,minmax,True,0.6256880786335958,0.026051738679192183
207,2,WORD2VEC,DecisionTree,minmax,False,0.6294853515605081,0.01735152548902132
208,2,WORD2VEC,DecisionTree,standard,True,0.6169958211748762,0.018209945455303893
209,2,WORD2VEC,DecisionTree,standard,False,0.623012182770417,0.02842060487828161
210,2,WORD2VEC,RandomForest,nenhuma,True,0.729585208749647,0.014463662204885212
211,2,WORD2VEC,RandomForest,nenhuma,False,0.7595908358844792,0.016903786662530746
212,2,WORD2VEC,RandomForest,minmax,True,0.7303057574051784,0.014435087701203112
213,2,WORD2VEC,RandomForest,minmax,False,0.7664694316844605,0.012478192040713003
214,2,WORD2VEC,RandomForest,standard,True,0.7295827669419191,0.01406613863066097
215,2,WORD2VEC,RandomForest,standard,False,0.7649435222555073,0.01447309859924408
216,3,BOW,LogisticRegression_None,nenhuma,True,0.4949871229204881,0.029466669031366678
217,3,BOW,LogisticRegression_None,nenhuma,False,0.49574664800995527,0.018019156493773857
218,3,BOW,LogisticRegression_None,minmax,True,0.4535876397140412,0.01609885662342443
219,3,BOW,LogisticRegression_None,minmax,False,0.44449418828528103,0.02626676061437725
220,3,BOW,LogisticRegression_None,standard,True,0.501001091370151,0.024293943745402335
221,3,BOW,LogisticRegression_None,standard,False,0.49681485210438686,0.02447841318565682
222,3,BOW,LogisticRegression_L1,nenhuma,True,0.4946898364088488,0.026374814349545462
223,3,BOW,LogisticRegression_L1,nenhuma,False,0.48802580479915836,0.016402905148127953
224,3,BOW,LogisticRegression_L1,minmax,True,0.4484381809304014,0.013560632099471661
225,3,BOW,LogisticRegression_L1,minmax,False,0.42578851920957184,0.018154203464192702
226,3,BOW,LogisticRegression_L1,standard,True,0.5024317943101692,0.026680643861000962
227,3,BOW,LogisticRegression_L1,standard,False,0.49814539161214394,0.021999532494671143
228,3,BOW,LogisticRegression_L2,nenhuma,True,0.4949871229204881,0.029466669031366678
229,3,BOW,LogisticRegression_L2,nenhuma,False,0.49574664800995527,0.018019156493773857
230,3,BOW,LogisticRegression_L2,minmax,True,0.4535876397140412,0.01609885662342443
231,3,BOW,LogisticRegression_L2,minmax,False,0.44449418828528103,0.02626676061437725
232,3,BOW,LogisticRegression_L2,standard,True,0.501001091370151,0.024293943745402335
233,3,BOW,LogisticRegression_L2,standard,False,0.49681485210438686,0.02447841318565682
234,3,BOW,LogisticRegression_ElasticNet,nenhuma,True,0.0032441200324412004,0.0022939392739222955
235,3,BOW,LogisticRegression_ElasticNet,nenhuma,False,0.0032441200324412004,0.0022939392739222955
236,3,BOW,LogisticRegression_ElasticNet,minmax,True,0.45074081191855386,0.013128813272360389
237,3,BOW,LogisticRegression_ElasticNet,minmax,False,0.43829239119208946,0.026952887373239174
238,3,BOW,LogisticRegression_ElasticNet,standard,True,0.4605885204960765,0.018533744681333467
239,3,BOW,LogisticRegression_ElasticNet,standard,False,0.4573144916944282,0.022114499189875597
240,3,BOW,DecisionTree,nenhuma,True,0.6285804861386891,0.02417518448230744
241,3,BOW,DecisionTree,nenhuma,False,0.6405077675512155,0.04055602702562492
242,3,BOW,DecisionTree,minmax,True,0.6277455531626771,0.02682721166907752
243,3,BOW,DecisionTree,minmax,False,0.6447950233322846,0.03198189941588556
244,3,BOW,DecisionTree,standard,True,0.631391923281884,0.026853466987474123
245,3,BOW,DecisionTree,standard,False,0.6384669746463402,0.03670619901045663
246,3,BOW,RandomForest,nenhuma,True,0.6857957794549939,0.014823453460434378
247,3,BOW,RandomForest,nenhuma,False,0.6891589234433981,0.024173452836492353
248,3,BOW,RandomForest,minmax,True,0.6884446502904836,0.01635730263481813
249,3,BOW,RandomForest,minmax,False,0.680579978514079,0.027925124161208625
250,3,BOW,RandomForest,standard,True,0.6824384245828532,0.020203934666856778
251,3,BOW,RandomForest,standard,False,0.6855480276544045,0.025068179455131862
252,3,TF-IDF,LogisticRegression_None,nenhuma,True,0.4341523852017752,0.010708270081947767
253,3,TF-IDF,LogisticRegression_None,nenhuma,False,0.4344322529646214,0.016952113170911106
254,3,TF-IDF,LogisticRegression_None,minmax,True,0.4588408166792896,0.013274614078193027
255,3,TF-IDF,LogisticRegression_None,minmax,False,0.4854017738067333,0.02390409371636007
256,3,TF-IDF,LogisticRegression_None,standard,True,0.5054430114528002,0.022201377424378794
257,3,TF-IDF,LogisticRegression_None,standard,False,0.4957046865428005,0.022721819121870667
258,3,TF-IDF,LogisticRegression_L1,nenhuma,True,0.48069949950670243,0.018281615392418394
259,3,TF-IDF,LogisticRegression_L1,nenhuma,False,0.4655227780046984,0.02789758455612425
260,3,TF-IDF,LogisticRegression_L1,minmax,True,0.48493539838277805,0.01767108267182421
261,3,TF-IDF,LogisticRegression_L1,minmax,False,0.47719092834367594,0.029326852630775925
262,3,TF-IDF,LogisticRegression_L1,standard,True,0.5074525027953167,0.02550347360606061
263,3,TF-IDF,LogisticRegression_L1,standard,False,0.5039002038537227,0.02702847929881909
264,3,TF-IDF,LogisticRegression_L2,nenhuma,True,0.4341523852017752,0.010708270081947767
265,3,TF-IDF,LogisticRegression_L2,nenhuma,False,0.4344322529646214,0.016952113170911106
266,3,TF-IDF,LogisticRegression_L2,minmax,True,0.4588408166792896,0.013274614078193027
267,3,TF-IDF,LogisticRegression_L2,minmax,False,0.4854017738067333,0.02390409371636007
268,3,TF-IDF,LogisticRegression_L2,standard,True,0.5054430114528002,0.022201377424378794
269,3,TF-IDF,LogisticRegression_L2,standard,False,0.4957046865428005,0.022721819121870667
270,3,TF-IDF,LogisticRegression_ElasticNet,nenhuma,True,0.43746644346938135,0.013758570352635445
271,3,TF-IDF,LogisticRegression_ElasticNet,nenhuma,False,0.43779084364146675,0.020567403711168608
272,3,TF-IDF,LogisticRegression_ElasticNet,minmax,True,0.4860131844763424,0.017447702663448136
273,3,TF-IDF,LogisticRegression_ElasticNet,minmax,False,0.4832422392092956,0.026309507384867516
274,3,TF-IDF,LogisticRegression_ElasticNet,standard,True,0.4685087115284298,0.016466105583563283
275,3,TF-IDF,LogisticRegression_ElasticNet,standard,False,0.469212316569423,0.01624919615215241
276,3,TF-IDF,DecisionTree,nenhuma,True,0.6521115332733366,0.015408472583829455
277,3,TF-IDF,DecisionTree,nenhuma,False,0.6455695597690037,0.024210681172622175
278,3,TF-IDF,DecisionTree,minmax,True,0.6595860670026307,0.01734459069913797
279,3,TF-IDF,DecisionTree,minmax,False,0.6409402271228234,0.02924439181179327
280,3,TF-IDF,DecisionTree,standard,True,0.6562080802016483,0.014606099603134744
281,3,TF-IDF,DecisionTree,standard,False,0.6391449557066685,0.025365178199248863
282,3,TF-IDF,RandomForest,nenhuma,True,0.6977469987216333,0.006787606950297118
283,3,TF-IDF,RandomForest,nenhuma,False,0.6908785607025109,0.02123411879533418
284,3,TF-IDF,RandomForest,minmax,True,0.694917943333932,0.007198636742940621
285,3,TF-IDF,RandomForest,minmax,False,0.6945438555478889,0.0225230286759951
286,3,TF-IDF,RandomForest,standard,True,0.6898311387387852,0.0032439419343317753
287,3,TF-IDF,RandomForest,standard,False,0.6901877776321862,0.02224543388181232
288,3,WORD2VEC,LogisticRegression_None,nenhuma,True,0.49239470819249775,0.01298339718230046
289,3,WORD2VEC,LogisticRegression_None,nenhuma,False,0.5090219373804463,0.016932342940529352
290,3,WORD2VEC,LogisticRegression_None,minmax,True,0.46740374813769314,0.02349783969033594
291,3,WORD2VEC,LogisticRegression_None,minmax,False,0.4799326814201265,0.007414704157823443
292,3,WORD2VEC,LogisticRegression_None,standard,True,0.5031570302697064,0.013117074185524021
293,3,WORD2VEC,LogisticRegression_None,standard,False,0.5193481390388636,0.02247458443676652
294,3,WORD2VEC,LogisticRegression_L1,nenhuma,True,0.4914903749159083,0.019311455695980872
295,3,WORD2VEC,LogisticRegression_L1,nenhuma,False,0.5002188058481805,0.013015252142014093
296,3,WORD2VEC,LogisticRegression_L1,minmax,True,0.46332199411604574,0.014432773286323352
297,3,WORD2VEC,LogisticRegression_L1,minmax,False,0.46483869046948034,0.009798522549582921
298,3,WORD2VEC,LogisticRegression_L1,standard,True,0.4914555019818178,0.011301913499527489
299,3,WORD2VEC,LogisticRegression_L1,standard,False,0.5118617564354354,0.024503692153580902
300,3,WORD2VEC,LogisticRegression_L2,nenhuma,True,0.5077343778333877,0.0051464442625639446
301,3,WORD2VEC,LogisticRegression_L2,nenhuma,False,0.5036492757820178,0.025223881666278664
302,3,WORD2VEC,LogisticRegression_L2,minmax,True,0.46477123100472245,0.011211268133223921
303,3,WORD2VEC,LogisticRegression_L2,minmax,False,0.47424084644559494,0.007113643094527771
304,3,WORD2VEC,LogisticRegression_L2,standard,True,0.5020605463196406,0.011536869150632385
305,3,WORD2VEC,LogisticRegression_L2,standard,False,0.5199888621580683,0.02018779952832894
306,3,WORD2VEC,LogisticRegression_ElasticNet,nenhuma,True,0.49693137051627617,0.008198308818230183
307,3,WORD2VEC,LogisticRegression_ElasticNet,nenhuma,False,0.4976380864779821,0.012736611206904459
