,embedding__n_grams,embedding__tipo_embedding,model__regularizacao,normalization__tipo_normalizacao,preprocessing__aplicar_processamento,mean_test_score,std_test_score
121,3,BOW,ElasticNet,nenhuma,False,-10.737959476792483,4.348154672693013
122,3,BOW,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
123,3,BOW,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
124,3,BOW,ElasticNet,standard,True,-9.426704028126114,4.205780400149626
125,3,BOW,ElasticNet,standard,False,-10.086815316780571,4.375895720115396
126,3,TF-IDF,Ridge,nenhuma,True,-9.382991827576907,4.030113156973347
127,3,TF-IDF,Ridge,nenhuma,False,-9.704967595594452,4.122620917364689
128,3,TF-IDF,Ridge,minmax,True,-9.402810209274506,4.022282638493928
129,3,TF-IDF,Ridge,minmax,False,-9.721432057266638,4.120745317460414
130,3,TF-IDF,Ridge,standard,True,-9.425936660437367,4.019810769779696
131,3,TF-IDF,Ridge,standard,False,-9.739118948556138,4.119352184207786
132,3,TF-IDF,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
133,3,TF-IDF,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
134,3,TF-IDF,Lasso,minmax,True,-10.784189697916666,4.346217015412189
135,3,TF-IDF,Lasso,minmax,False,-10.784189697916666,4.346217015412189
136,3,TF-IDF,Lasso,standard,True,-10.784189697916666,4.346217015412189
137,3,TF-IDF,Lasso,standard,False,-10.784189697916666,4.346217015412189
138,3,TF-IDF,ElasticNet,nenhuma,True,-10.784189697916666,4.346217015412189
139,3,TF-IDF,ElasticNet,nenhuma,False,-10.784189697916666,4.346217015412189
140,3,TF-IDF,ElasticNet,minmax,True,-10.784189697916666,4.346217015412189
141,3,TF-IDF,ElasticNet,minmax,False,-10.784189697916666,4.346217015412189
142,3,TF-IDF,ElasticNet,standard,True,-9.541153283744102,4.283145023094152
143,3,TF-IDF,ElasticNet,standard,False,-9.94984091222063,4.344618506623665
144,3,WORD2VEC,Ridge,nenhuma,True,-10.028806640039287,4.15382189975921
145,3,WORD2VEC,Ridge,nenhuma,False,-10.324115581691627,4.308013770748171
146,3,WORD2VEC,Ridge,minmax,True,-9.978973962515619,4.163090807015369
147,3,WORD2VEC,Ridge,minmax,False,-10.221030696368832,4.277349458291677
148,3,WORD2VEC,Ridge,standard,True,-10.051759859172128,4.133395161046673
149,3,WORD2VEC,Ridge,standard,False,-10.291246453177079,4.2632452621234505
150,3,WORD2VEC,Lasso,nenhuma,True,-10.784189697916666,4.346217015412189
151,3,WORD2VEC,Lasso,nenhuma,False,-10.784189697916666,4.346217015412189
152,3,WORD2VEC,Lasso,minmax,True,-10.784189697916666,4.346217015412189
